proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,draw,alpha,n,error_cells,coverage,acc,pi0,pi_alpha,pi_alpha_floor,n_strata,strata_certifiable,A,A_queue,R,covered,gap,empty,predicted_empty
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,2,0.2,935,1324,0.7062,0.6203,0.0,0.446,0.446,6,2,0.0,0.0,0.0,True,-0.446,True,False
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,3,0.05,1074,1324,0.8112,0.6397,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,3,0.1,1074,1324,0.8112,0.6397,0.0,0.4171,0.4171,6,2,0.0,0.0,0.0,True,-0.4171,True,False
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,3,0.2,1074,1324,0.8112,0.6397,0.0,0.6117,0.6117,6,3,0.2967,0.2407,0.0804,True,-0.315,False,False
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,1,0.05,696,3619,0.1923,0.1466,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,1,0.1,696,3619,0.1923,0.1466,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,1,0.2,696,3619,0.1923,0.1466,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,2,0.05,916,3619,0.2531,0.107,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,2,0.1,916,3619,0.2531,0.107,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,2,0.2,916,3619,0.2531,0.107,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,3,0.05,1527,3619,0.4219,0.0681,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,3,0.1,1527,3619,0.4219,0.0681,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,3,0.2,1527,3619,0.4219,0.0681,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,1,0.05,696,3619,0.1923,0.1466,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,1,0.1,696,3619,0.1923,0.1466,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,1,0.2,696,3619,0.1923,0.1466,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,2,0.05,916,3619,0.2531,0.107,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,2,0.1,916,3619,0.2531,0.107,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,2,0.2,916,3619,0.2531,0.107,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,3,0.05,1527,3619,0.4219,0.0681,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,3,0.1,1527,3619,0.4219,0.0681,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,3,0.2,1527,3619,0.4219,0.0681,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,1,0.05,3046,5506,0.5532,0.0502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,1,0.1,3046,5506,0.5532,0.0502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,1,0.2,3046,5506,0.5532,0.0502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,2,0.05,2470,5506,0.4486,0.0571,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,2,0.1,2470,5506,0.4486,0.0571,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,2,0.2,2470,5506,0.4486,0.0571,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,3,0.05,2439,5506,0.443,0.0549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,3,0.1,2439,5506,0.443,0.0549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,3,0.2,2439,5506,0.443,0.0549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,mondrian,column,1,0.05,3046,5506,0.5532,0.0502,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
