proposer,dataset,detection,scoring,strata,alpha,delta,seeds,errors_before,n_test,edr_apply_all,edr_apply_all_min,apply_all_negative_seeds,edr_care,edr_care_min,care_negative_seeds,edr_care_table,n_auto,n_changes,fixes,breaks,still_wrong,bound_violations,bound_violations_while_covered
Jellyfish,flights,log,detected,mondrian,0.1,0.1,10,2238.6,2394,-0.0144,-0.0184,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,flights,log,detected,mondrian,0.2,0.1,10,2238.6,2394,-0.0144,-0.0184,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,log,detected,mondrian,0.05,0.1,10,451.4,540,-0.1123,-0.1214,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,log,detected,mondrian,0.1,0.1,10,451.4,540,-0.1123,-0.1214,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,log,detected,mondrian,0.2,0.1,10,451.4,540,-0.1123,-0.1214,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
HoloClean,hospital,log,detected,mondrian_src,0.05,0.1,10,112.5,113,0.4711,0.469,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
HoloClean,hospital,log,detected,mondrian_src,0.1,0.1,10,112.5,113,0.4711,0.469,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
HoloClean,hospital,log,detected,mondrian_src,0.2,0.1,10,112.5,113,0.4711,0.469,0,0.3378,0.3363,0,0.0747,38,38,38,0,0,0,0
HoloClean,flights,log,detected,mondrian_src,0.05,0.1,10,2241.4,2396,0.4637,0.4587,0,0.3988,0.308,0,0.1817,903.8,903.8,893.9,0,9.9,0,0
HoloClean,flights,log,detected,mondrian_src,0.1,0.1,10,2241.4,2396,0.4637,0.4587,0,0.4154,0.4127,0,0.1892,944,944,931,0,13,0,0
HoloClean,flights,log,detected,mondrian_src,0.2,0.1,10,2241.4,2396,0.4637,0.4587,0,0.4154,0.4127,0,0.1892,944,944,931,0,13,0,0
